Name,Hidden,Completion Status,Community Score
DERE EVIL EXE,False,5 - Uncategorized,70
Derpy Deep Drive,False,9 - Trash,
Desktop Dungeons,False,5 - Uncategorized,83
Desolate Roads,False,9 - Trash,
Despotism 3k,False,5 - Uncategorized,60
Destiny 2,False,5 - Uncategorized,74
Destroy All Humans! – Clone Carnage,False,5 - Uncategorized,42
Destruction Rocks,False,9 - Trash,
Destructivator 2,False,9 - Trash,
Detective Case and Clown Bot in: Murder in The Hotel Lisbon,False,5 - Uncategorized,80
Detours,False,9 - Trash,
Deus Ex - Mankind Divided,False,5 - Uncategorized,78
Diablo IV,False,1 - Playing,88
Dino Island The Four Crystals,False,9 - Trash,
Dino Run,False,5 - Uncategorized,80
Disco Elysium,False,3 - Plan to Play,92
Dishonored - Definitive Edition,False,3 - Plan to Play,84
Dishonored: Death of the Outsider,False,3 - Plan to Play,83
Disobedient Sheep,False,9 - Trash,
Diver,False,9 - Trash,
Divine Knockout,True,5 - Uncategorized,
Divine Knockout (DKO),False,5 - Uncategorized,70
Divinity: Original Sin 2 - Definitive Edition,False,4 - Later,89
Do I Pass?,False,9 - Trash,
Dodgy Boat,False,9 - Trash,
Dogs Throwing Swords II: Three Barks To The Wind,False,9 - Trash,
"Dominique Pamplemousse and Dominique Pamplemousse in ""Combinatorial Explosion!""",False,9 - Trash,
"Dominique Pamplemousse in ""It's All Over Once The Fat Lady Sings!""",False,9 - Trash,
Dona Vasa,False,9 - Trash,
"Don't Escape: 4 Days to Survive",False,5 - Uncategorized,70
"Don't Look Down",False,9 - Trash,
"Don't Starve Together",False,5 - Uncategorized,75
"Don't Take It Personally, I Just Don't Like You: The Camping Trip",False,9 - Trash,
Doodle Date,False,5 - Uncategorized,70
DOOM 64,False,5 - Uncategorized,70
Doorways,False,9 - Trash,
Dota 2,False,5 - Uncategorized,80
Dota Underlords,False,8 - Dead,70
Double Cross,False,5 - Uncategorized,70
Double Jump 2,False,9 - Trash,
Double Turn,False,9 - Trash,
Doujins and Dragons,False,9 - Trash,
Dragon Age: Inquisition – Game of the Year Edition,False,5 - Uncategorized,
Dragon Age: Origins - Ultimate Edition,False,3 - Plan to Play,87
Dragon Drop,False,9 - Trash,
Dragons in Space,False,9 - Trash,
Dragonsphere,False,5 - Uncategorized,63
Draw Slasher,False,5 - Uncategorized,51
Drawful 2,False,5 - Uncategorized,78
Drawkanoid,False,5 - Uncategorized,70
Dream Dye,False,9 - Trash,
"DreamCatcher: Reflections, Volume 1",False,9 - Trash,
Drew and the Floating Labyrinth,False,9 - Trash,
Driftland: The Magic Revival,False,5 - Uncategorized,80
Drillmin,False,9 - Trash,
"Drones, The Human Condition",False,9 - Trash,
Drum Controller,False,9 - Trash,
dstnce.,False,9 - Trash,
Dub Dash,False,5 - Uncategorized,68
DUFE: Masquerade,False,9 - Trash,
Dumpy & Bumpy,False,9 - Trash,
Dungeon Escape,False,9 - Trash,
Dungeon Fighter Online,False,5 - Uncategorized,62
DUNGEONBLADE - HAUNTED KINGDOM,False,9 - Trash,
Duskers,False,5 - Uncategorized,63
DW,False,5 - Uncategorized,70
Dwarf Fortress,False,3 - Plan to Play,93
Dx Ball Shooter,False,9 - Trash,
Dying Light Enhanced Edition,False,5 - Uncategorized,87
Dying Light The Bozak,False,9 - Trash,
Dying Light The Following,False,5 - Uncategorized,76
Dystopicon,False,9 - Trash,
EarthX,False,5 - Uncategorized,85
Easter Bunny on speed,False,9 - Trash,
eat-it-all,False,9 - Trash,
Eatvolve,False,9 - Trash,
Eddie Hill -in- The Curse Of The Skull Medallion,False,9 - Trash,
Edolie,False,5 - Uncategorized,60
El Gancho,False,9 - Trash,
Elden: Path of the Forgotten,False,9 - Trash,
Eldritch,False,5 - Uncategorized,61
Eldritch Academy,False,9 - Trash,
Elephant Hunter Hunter,False,9 - Trash,
Elephantasy,False,9 - Trash,
Emberglass,False,9 - Trash,
EMUUROM,False,9 - Trash,
Encased,False,5 - Uncategorized,80
ENDLESS Space 2,False,5 - Uncategorized,82
Enter the Gungeon,False,3 - Plan to Play,76
Epistory - Typing Chronicles,False,5 - Uncategorized,71
Errant Kingdom,False,5 - Uncategorized,70
ESC,False,9 - Trash,
Escape Room - The Sick Colleague,False,9 - Trash,
Eternal Return,False,7 - Dropped,77
Eternal Threads,False,5 - Uncategorized,
Eternia: Pet Whisperer,False,9 - Trash,
ETHEREAL,False,5 - Uncategorized,70
EVADER,False,9 - Trash,
Evangeline,False,5 - Uncategorized,50
Evil Dead: The Game,False,5 - Uncategorized,55
Evoland Legendary Edition,False,5 - Uncategorized,69
Eximius: Seize the Frontline,False,5 - Uncategorized,50
Expeditions: Viking,False,5 - Uncategorized,70
Explorers (Deluxe Edition 🗿),False,9 - Trash,
Eyad and Hala,False,9 - Trash,
Eye of Ra,False,9 - Trash,
Eyewear Cleaner 2077,False,9 - Trash,
F J O R D S,False,9 - Trash,
F.I.S.T.: Forged In Shadow Torch,False,5 - Uncategorized,61
Fable Anniversary,False,3 - Plan to Play,82
Fäiser,False,9 - Trash,
Fake Illusions - Encore Update,False,9 - Trash,
Fall Guys,False,5 - Uncategorized,77
Fallout 2,False,5 - Uncategorized,90
Fallout 3: Game of the Year Edition,False,5 - Uncategorized,91
"Fallout New Vegas: Courier's Stash",False,9 - Trash,
Fallout New Vegas: Dead Money,False,5 - Uncategorized,70
Fallout New Vegas: Gun Runners’ Arsenal,False,9 - Trash,
